Bit-Aliasing: 48.24%
Average Reliability: 95.937147%
Maximum Reliability: Chip 178 with 98.25%
Minimum Reliability: Chip 40 with 93.46%

Reliability of each PUF instance:
Chip 260: 96.03%
Chip 261: 95.85%
Chip 262: 96.59%
Chip 263: 95.25%
Chip 264: 96.09%
Chip 265: 95.19%
Chip 266: 95.60%
Chip 267: 95.60%
Chip 268: 95.87%
Chip 269: 96.92%
Chip 270: 96.03%
Chip 271: 94.65%
Chip 272: 96.59%
Chip 273: 94.61%
Chip 274: 95.07%
Chip 275: 94.55%
Chip 276: 95.21%
Chip 277: 94.12%
Chip 278: 96.55%
Chip 279: 96.59%
Chip 280: 95.70%
Chip 281: 95.17%
Chip 282: 95.17%
Chip 283: 96.65%
Chip 284: 95.60%
Chip 285: 96.05%
Chip 286: 96.38%
Chip 287: 95.33%
Chip 288: 95.58%
Chip 289: 94.06%
Chip 290: 95.85%
Chip 291: 96.18%
Chip 292: 95.99%
Chip 293: 96.07%
Chip 294: 94.98%
Chip 295: 95.70%
Chip 296: 96.40%
Chip 297: 95.66%
Chip 298: 96.01%
Chip 299: 94.14%
Chip 300: 96.20%
Chip 301: 96.24%
Chip 302: 96.75%
Chip 303: 96.07%
Chip 304: 95.79%
Chip 305: 96.05%
Chip 306: 95.23%
Chip 307: 96.24%
Chip 308: 94.80%
Chip 309: 96.09%
Chip 310: 96.69%
Chip 311: 97.10%
Chip 312: 96.16%
Chip 313: 96.20%
Chip 314: 96.07%
Chip 315: 97.22%
Chip 316: 95.76%
Chip 317: 96.88%
Chip 318: 96.94%
Chip 319: 95.50%
Chip 320: 96.79%
Chip 321: 96.63%
Chip 322: 94.31%
Chip 323: 94.80%
Chip 324: 97.04%
Chip 325: 96.32%
Chip 326: 97.53%
Chip 327: 96.85%
Chip 328: 97.14%
Chip 329: 95.29%
Chip 330: 95.64%
Chip 331: 94.68%
Chip 332: 97.37%
Chip 333: 95.79%
Chip 334: 94.88%
Chip 335: 96.79%
Chip 336: 95.46%
Chip 337: 94.43%
Chip 338: 95.52%
Chip 339: 95.27%
Chip 340: 95.31%
Chip 341: 96.01%
Chip 342: 96.11%
Chip 343: 94.88%
Chip 344: 96.90%
Chip 345: 96.13%
Chip 346: 96.16%
Chip 347: 96.44%
Chip 348: 97.04%
Chip 349: 98.11%
Chip 350: 96.20%
Chip 351: 95.64%
Chip 352: 94.82%
Chip 353: 95.50%
Chip 354: 96.20%
Chip 355: 95.17%
Chip 356: 95.87%
Chip 357: 95.83%
Chip 358: 95.07%
Chip 359: 96.59%
Chip 360: 97.06%
Chip 361: 96.42%
Chip 362: 96.20%
Chip 363: 95.58%
Chip 364: 97.00%
Chip 365: 96.88%
Chip 366: 97.20%
Chip 367: 96.01%
Chip 368: 94.70%
Chip 369: 95.56%
Chip 370: 97.55%
Chip 371: 96.57%
Chip 372: 97.74%
Chip 373: 97.35%
Chip 374: 97.22%
Chip 375: 95.95%
Chip 376: 94.70%
Chip 377: 96.18%
Chip 378: 95.68%
Chip 379: 97.29%
Chip 380: 96.18%
Chip 381: 96.69%
Chip 382: 95.91%
Chip 383: 96.77%
Chip 384: 95.54%
Chip 385: 96.32%
Chip 386: 96.61%
Chip 387: 95.60%
Chip 388: 96.22%
Chip 389: 98.01%
Chip 390: 96.26%
Chip 391: 97.82%
Chip 392: 95.35%
Chip 393: 95.99%
Chip 394: 96.77%
Chip 395: 95.11%
Chip 396: 95.68%
Chip 397: 97.06%
Chip 398: 95.46%
Chip 399: 96.55%
Chip 400: 95.07%
Chip 401: 97.04%
Chip 402: 96.09%
Chip 403: 95.52%
Chip 404: 96.32%
Chip 405: 95.91%
Chip 406: 96.42%
Chip 407: 95.60%
Chip 408: 95.72%
Chip 409: 94.80%
Chip 410: 96.98%
Chip 411: 95.87%
Chip 412: 95.56%
Chip 413: 97.06%
Chip 414: 95.87%
Chip 415: 96.63%
Chip 416: 95.44%
Chip 417: 96.98%
Chip 418: 95.31%
Chip 419: 95.60%
Chip 420: 94.94%
Chip 421: 96.75%
Chip 422: 96.55%
Chip 423: 97.57%
Chip 424: 96.50%
Chip 425: 96.32%
Chip 426: 96.03%
Chip 427: 97.20%
Chip 428: 95.56%
Chip 429: 96.34%
Chip 430: 97.47%
Chip 431: 96.81%
Chip 432: 95.19%
Chip 433: 96.09%
Chip 434: 95.83%
Chip 435: 96.40%
Chip 436: 93.87%
Chip 437: 96.36%
Chip 438: 96.63%
Chip 439: 93.61%
Chip 440: 96.53%
Chip 441: 95.74%
Chip 442: 95.31%
Chip 443: 96.75%
Chip 444: 95.83%
Chip 445: 95.54%
Chip 446: 94.82%
Chip 447: 96.01%
Chip 448: 95.79%
Chip 449: 94.06%
Chip 450: 95.52%
Chip 451: 95.91%
Chip 452: 94.39%
Chip 453: 95.87%
Chip 454: 96.40%
Chip 455: 95.91%
Chip 456: 96.48%
Chip 457: 96.26%
Chip 458: 96.73%
Chip 459: 95.99%
Chip 460: 96.26%
Chip 461: 95.31%
Chip 462: 96.34%
Chip 463: 94.12%
Chip 464: 94.74%
Chip 465: 95.50%
Chip 466: 97.70%
Chip 467: 95.68%
Chip 468: 96.26%
Chip 469: 96.05%
Chip 470: 96.77%
Chip 471: 95.00%
Chip 472: 96.03%
Chip 473: 96.28%
Chip 474: 97.39%
Chip 475: 95.93%
Chip 476: 95.76%
Chip 477: 97.06%
Chip 478: 95.54%
Chip 479: 97.04%
Chip 480: 94.41%
Chip 481: 94.98%
Chip 482: 96.03%
Chip 483: 94.57%
Chip 484: 95.93%
Chip 485: 96.01%
Chip 486: 95.56%
Chip 487: 95.19%
Chip 488: 94.76%
Chip 489: 94.92%
Chip 490: 96.85%
Chip 491: 97.62%
Chip 492: 96.61%
Chip 493: 96.22%
Chip 494: 96.53%
Chip 495: 97.41%
Chip 496: 96.16%
Chip 497: 94.61%
Chip 498: 95.19%
Chip 499: 93.61%
Chip 500: 96.59%
Chip 501: 96.01%
Chip 502: 95.54%
Chip 503: 96.07%
Chip 504: 95.89%
Chip 505: 96.83%
Chip 506: 96.79%
Chip 507: 97.84%
Chip 508: 96.13%
Chip 509: 94.84%
Chip 510: 96.73%
Chip 511: 94.76%
Chip 512: 94.33%
